"event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name","venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total"
"BREAK SCIENCE with special guest K+Lab","event","rZ7HnEZ1Aajz7P","2019-10-12","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"HOT 8 BRASS BAND with special guests","event","rZ7HnEZ1AaO3Zg","2019-10-21","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6Fn","Post-Punk","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"WHYT RBBT feat. An-Ten-Nae & Eriel Indigo with LowRIDERz feat. Laura Low and PRSN","event","rZ7HnEZ1AaO4jP","2019-10-19","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vkda","Jazz","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Rick Estrin & The Nightcats","event","rZ7HnEZ1AaoAOP","2019-11-13","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAvJ","Alternative","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"ORANSSI PAZUZU + Insect Ark and WILL","event","rZ7HnEZ1AaObZA","2019-10-26","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vkvl","Hip-Hop/Rap","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Bridgetown Big Bands - NoPo Big Band","event","rZ7HnEZ1AaOgGA","2019-10-14","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vk7v","Big Band","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"Bridgetown Big Bands - Providence Hospital Stage Band","event","rZ7HnEZ1AaOgGP","2019-10-21","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vk7v","Big Band","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"ALL HYPE with Small Field, Dog Lord and Poppyseed","event","rZ7HnEZ1AaOgOg","2019-10-29","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvt","Metal","KZazBEonSMnZfZ7vk6t","Death Metal/Black Metal","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"WHIPPED DANCE CO. performs Burlesque-ish! followed by Sinferno Cabaret","event","rZ7HnEZ1AaOgrA","2019-10-06","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7na","Arts & Theatre","KnvZfZ7v7nI","Dance","KZazBEonSMnZfZ7v7nl","Dance","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"ZEPPARELLA","event","rZ7HnEZ1AaoJaP","2019-12-06","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7na","Arts & Theatre","KnvZfZ7v7nI","Dance","KZazBEonSMnZfZ7v7nl","Dance","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"Turtle's Guitar Mafia","event","rZ7HnEZ1AaOJGg","2019-10-18","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vkda","Jazz","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
