"venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total","event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Dallas Mavericks","event","vvG1HZ4YSkZK4k","2020-01-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Dallas Mavericks","event","vvG1HZ4YSk6N4s","2020-03-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Dallas Mavericks","event","vvG1HZ4YSk6N4s","2020-03-19","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Cleveland Cavaliers","event","vvG1HZ4YSkFN4X","2020-04-07","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Cleveland Cavaliers","event","vvG1HZ4YSkFN4X","2020-04-07","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Veterans Memorial Coliseum","venue","KovZpZAJ67kA","97208","-122.667442","45.533299","24","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4Yh1XN_V","2019-10-08","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/95347s.gif","Veterans Memorial Coliseum","KovZpZAJ67kA","97208","45.533299","-122.667442","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Veterans Memorial Coliseum","venue","KovZpZAJ67kA","97208","-122.667442","45.533299","24","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4Yh1XN_V","2019-10-08","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/95347s.gif","Veterans Memorial Coliseum","KovZpZAJ67kA","97208","45.533299","-122.667442","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4YSAwdfh","2019-10-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4YSAwdfh","2019-10-23","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Portland Trail Blazers vs. Denver Nuggets","event","vvG1HZ4YSAsdf9","2020-04-09","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/59232s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nE","Sports","KnvZfZ7vAde","Basketball","KZazBEonSMnZfZ7vFJA","NBA"
